name,kind,bowl,hollow,depth_rel,exponent,cite,note
M42/NGC1976,volume,0.85,0.0,0.45,0.5,"O'Dell 2001 ARA&A 39:99; Wen & O'Dell 1995","a blister H II region — not a cloud but a cavity excavated by the Trapezium on the NEAR face of the OMC-1 molecular cloud, so the bowl opens toward the observer"
M43/NGC1982,volume,0.7,0.0,0.4,0.5,"O'Dell 2001 ARA&A 39:99","a smaller blister on the same cloud face as M42"
M57/NGC6720,shell,0.0,0.65,0.9,0.5,"O'Dell et al. 2013 AJ 145:92","a barrel/torus seen close to pole-on, with fainter lobes along the line of sight"
M27/NGC6853,shell,0.0,0.55,0.8,0.5,"Kastner et al. 2018 ApJ 861:75","a bipolar shell viewed near the equator of its waist"
NGC7293,shell,0.0,0.7,0.9,0.5,"O'Dell et al. 2004 AJ 128:2339","a near-pole-on double-ring system, not a simple sphere"
NGC6960/NGC6992/NGC6995/NGC6979,volume,0.0,0.8,0.25,0.6,"Fesen et al. 2018 MNRAS 481:1786","a thin sheet of the Cygnus Loop shell seen edge-on — the brightness is limb-brightening, not depth"
NGC7000,volume,0.5,0.0,0.35,0.5,"Sh 2-117 region; Bally & Reipurth 2003","an ionised face of a larger cloud, seen against its own dark lane"
NGC2237/NGC2244,shell,0.0,0.6,0.85,0.5,"Wang et al. 2010 ApJ 716:474","a wind-blown cavity around the central cluster, so the ring is a shell seen through its middle"
IC434,volume,0.6,0.0,0.3,0.5,"Pound et al. 2003 ApJ 592:L29","an ionisation front seen nearly edge-on, with the Horsehead an intruding cloud in front of it"
NGC1976,volume,0.85,0.0,0.45,0.5,"O'Dell 2001 ARA&A 39:99","see M42"
M8/NGC6523,volume,0.6,0.0,0.4,0.5,"Tothill et al. 2008 Handbook of Star Forming Regions II","a blister on the near side of the Lagoon's molecular cloud"
M16/NGC6611,volume,0.55,0.0,0.4,0.5,"Hester et al. 1996 AJ 111:2349","an excavated cavity with the Pillars protruding toward the observer"
M17/NGC6618,volume,0.7,0.0,0.35,0.5,"Povich et al. 2007 ApJ 660:346","a blister opening toward us on the edge of M17 SW"
NGC6888,shell,0.0,0.6,0.9,0.5,"Toala et al. 2014 A&A 567:A98","a wind-blown bubble around a Wolf-Rayet star"
NGC7635,shell,0.0,0.7,0.9,0.5,"Christopoulou et al. 1995 A&A 295:509","a near-spherical wind bubble"
IC1396,volume,0.5,0.0,0.35,0.5,"Patel et al. 1995 ApJ 447:721","an evacuated H II region with the Elephant's Trunk in the foreground"
NGC3372,volume,0.65,0.0,0.4,0.5,"Smith & Brooks 2007 MNRAS 379:1279","a bipolar cavity opening toward the observer"
IC1805/IC1848,volume,0.5,0.0,0.35,0.5,"Panagia & Thum 1981 A&A 98:295","wind-cleared cavities around their central clusters"
